name,Party
Henrik Sass Larsen,Socialdemokraterne
Bjarne Laustsen,Socialdemokraterne
Annette Lind,Socialdemokraterne
Mogens Lykketoft,Socialdemokraterne
Flemming Møller Mortensen,Socialdemokraterne
Jesper Petersen,Socialdemokraterne
Rasmus Prehn,Socialdemokraterne
Troels Ravn,Socialdemokraterne
Mette Reissmann,Socialdemokraterne
Pernille Rosenkrantz Theil,Socialdemokraterne
Julie Skovsby,Socialdemokraterne
Nicolai Wammen,Socialdemokraterne
Astrid Krag,Socialdemokraterne
Peter Hummelgaard,Socialdemokraterne
Lea Wermelin,Socialdemokraterne
Mattias Tesfaye,Socialdemokraterne
Daniel Toft Jakobsen,Socialdemokraterne
Christian Rabjerg Madsen,Socialdemokraterne
Erik Christensen,Socialdemokraterne
Kaare Dybvad,Socialdemokraterne
Malte Larsen,Socialdemokraterne
Lars Aslan Rasmussen,Socialdemokraterne
Sjúrður Skaale,Javnaðarflokkurin
Simon Emil Ammitzbøll,Liberal Alliance
Mette Bock,Liberal Alliance
Villum Christensen,Liberal Alliance
Leif Mikkelsen,Liberal Alliance
Ole Birk Olesen,Liberal Alliance
Joachim B. Olsen,Liberal Alliance
Merete Riisager,Liberal Alliance
Anders Samuelsen,Liberal Alliance
Christina Egelund,Liberal Alliance
Henrik Dahl,Liberal Alliance
May-Britt Buch-Kattrup,Liberal Alliance
Carsten Bach,Liberal Alliance
Danny K. Malkowski,Liberal Alliance
Pia Adelsteen,Dansk Folkeparti
Karina Adsbøl,Dansk Folkeparti
Liselott Blixt,Dansk Folkeparti
Henrik Urban Brodersen,Dansk Folkeparti
Bent Bøgsted,Dansk Folkeparti
René Christensen,Dansk Folkeparti
Kim Christiansen,Dansk Folkeparti
Jens Henrik Thulesen Dahl,Dansk Folkeparti
Kristian Thulesen Dahl,Dansk Folkeparti
Mette Hjermind Dencker,Dansk Folkeparti
Mikkel Dencker,Dansk Folkeparti
Søren Espersen,Dansk Folkeparti
Dennis Flydtkjær,Dansk Folkeparti
Marlene Harpsøe,Dansk Folkeparti
Martin Henriksen,Dansk Folkeparti
Pia Kjærsgaard,Dansk Folkeparti
Marie Krarup,Dansk Folkeparti
Merete Dea Larsen,Dansk Folkeparti
Christian Langballe,Dansk Folkeparti
Morten Marinus,Dansk Folkeparti
Karin Nødgaard,Dansk Folkeparti
Hans Kristian Bundgaard-Skibby,Dansk Folkeparti
Peter Skaarup,Dansk Folkeparti
Tilde Bork,Dansk Folkeparti
Susanne Eilersen,Dansk Folkeparti
Kenneth Kristensen Berth,Dansk Folkeparti
Ib Poulsen,Dansk Folkeparti
Lise Bech,Dansk Folkeparti
Pernille Bendixen,Dansk Folkeparti
Peter Kofod Poulsen,Dansk Folkeparti
Jan Rytkjær Callesen,Dansk Folkeparti
Dorthe Ullemose,Dansk Folkeparti
Karina Due,Dansk Folkeparti
Jan Erik Messmann,Dansk Folkeparti
Claus Kvist Hansen,Dansk Folkeparti
Jeppe Jakobsen,Dansk Folkeparti
Carsten Kudsk,Dansk Folkeparti
Marianne Jelved,Radikale Venstre
Martin Lidegaard,Radikale Venstre
Sofie Carsten Nielsen,Radikale Venstre
Lotte Rod,Radikale Venstre
Zenia Stampe,Radikale Venstre
Andreas Steenberg,Radikale Venstre
Morten Østergaard,Radikale Venstre
Ida Auken,Radikale Venstre
Margrethe Vestager,Radikale Venstre
Radikale Venstre,Radikale Venstre
Socialdemokratiet,Socialdemokraterne
Venstre,Venstre
Liberal Alliance,Liberal Alliance
Enhedslisten,Enhedslisten
Alternativet,Alternativet
SF,Socialistisk Folkeparti
Konservative,Det Konservative Folkeparti
DanskFolkeparti,Dansk Folkeparti
DSU,Socialdemokraterne
Radikal Ungdom,Radikale Venstre
LAU,Liberal Alliance
Svend Thorhauge,Radikale Venstre
Konservativ Ungdom,Det Konservative Folkeparti
Brian Holm,Det Konservative Folkeparti
Morten Messerschmidt,Dansk Folkeparti
Per Clausen,Enhedslisten
Frank Jensen,Socialdemokraterne
Anna Mee Allerslev,Radikale Venstre
Jeppe Kofod,Socialdemokraterne
Margrete Auken,Socialistisk Folkeparti
Jakob Engel-Schmidt,Venstre
Morten Helveg,Radikale Venstre
Sophie H Andersen,Socialdemokraterne
Jens Rohde,Radikale Venstre
Bendt Bendtsen,Det Konservative Folkeparti
Christel Schaldemose,Socialdemokraterne
Morten Løkkegaard,Venstre
Benedikte Kiær,Det Konservative Folkeparti
