name,twitterAccount,followers,following,tweets,created_at,type
Hanne Roed,@HanneRoed,193,228,811,20/10-2009,Regionalt/lokalt
Jesper F Rasmussen,@Jesperfr,192,232,189,05/08-2009,Regionalt/lokalt
Mette Engelbrecht,@borgmestermette,191,332,233,08/05-2012,Regionalt/lokalt
Elisabeth Ildal,@elisabeth_ildal,190,232,347,27/09-2013,Regionalt/lokalt
Per Zeidler,@PerZeidler,189,253,810,26/09-2013,Regionalt/lokalt
Jeanne Toxværd,@FruToxic,184,121,509,13/05-2011,Regionalt/lokalt
Rikke Karlsson,@rikke_karlsson,180,7,0,23/06-2013,EU
Jeppe Lindberg,@jeppelindberg,177,193,2033,01/01-2010,Regionalt/lokalt
ango winther,@AngoWinther,176,149,42,14/06-2012,Regionalt/lokalt
Steen Hasselriis,@steenhasselriis,176,223,310,21/10-2014,Regionalt/lokalt
Jan Ravn Christensen,@JanRavnC,174,152,83,02/03-2014,Regionalt/lokalt
Bodil Kornbek,@BodilKornbek,172,31,169,05/07-2011,Regionalt/lokalt
Simon Strange,@stemstrange,171,234,16,31/10-2013,Regionalt/lokalt
Merete Dea Larsen,@dea_merete,170,16,0,07/01-2015,Folketinget
Maria Baagøe Bove,@MariaBaagoeBove,169,214,17,23/09-2013,Regionalt/lokalt
Steen B Andersen,@SteenBAndersen,169,206,106,25/03-2014,Regionalt/lokalt
Søren Rishøj Jakob,@sorijak,167,195,191,05/02-2012,Regionalt/lokalt
Mikkel Dencker,@Mikkel_Dencker,167,24,1,21/02-2013,Folketinget
Mogens Vad,@MogensVad,163,17,11,21/11-2012,Regionalt/lokalt
Dennis Schmock,@DennisSchmock,162,223,438,04/04-2010,Regionalt/lokalt
Kim Christiansen,@DfkichKim,162,24,3,21/12-2013,Folketinget
ØIM,@OIMdk,161,55,45,22/04-2015,Folketinget
Thomas Monberg,@ThomasMonberg1,160,575,284,12/08-2013,Regionalt/lokalt
Birgitte Vind,@Birgitte2012,158,181,239,17/04-2012,Regionalt/lokalt
Jan Wammen,@janwammen,158,0,110,06/04-2009,Regionalt/lokalt
Birgit S Hansen,@BirgitsHansen,157,30,42,25/02-2013,Regionalt/lokalt
Peder Hvejsel,@PHvejsel,153,35,256,30/11-2011,Regionalt/lokalt
Karina Due,@KarinaDue1,153,41,1,22/02-2015,Folketinget
Louise Feilberg,@FeilbergLouise,150,410,90,09/01-2012,Regionalt/lokalt
Søren Egge Rasmussen,@SorenEggeRasmus,148,144,106,28/12-2015,Folketinget
Torben Elsig,@TorbenElsig,147,89,126,12/09-2013,Regionalt/lokalt
Anders Johansson,@AJohanssonC,147,137,232,26/03-2014,Regionalt/lokalt
Martin Bech,@MartinNbech,147,197,69,06/10-2014,Regionalt/lokalt
MBLIS,@M_BLIS,145,0,0,24/06-2014,Folketinget
Simon Hempel-J,@Simon6000,144,92,140,02/01-2010,Regionalt/lokalt
Benny Dall,@BennyDall,141,251,76,27/02-2013,Regionalt/lokalt
Lasse Krull,@lassekrull,138,23,55,22/05-2009,Regionalt/lokalt
Githa Nelander,@GithaNelander,138,140,202,08/02-2013,Regionalt/lokalt
søren brink,@brinkjammerbugt,136,473,219,26/09-2009,Regionalt/lokalt
Rasmus Brask,@rasmusbrask,132,175,45,15/05-2010,Regionalt/lokalt
Camilla Hove Lund,@hovelund,131,106,143,03/04-2014,Regionalt/lokalt
Bo Vesth,@bo_vesth,131,267,688,21/04-2009,Regionalt/lokalt
Anne Jeremiassen,@StemLAAnne,128,414,52,24/06-2014,Regionalt/lokalt
Kristian Dyhr,@krdyhr,121,23,68,03/09-2009,Regionalt/lokalt
Claus Omann Jensen,@CjOmann,115,39,7,21/05-2013,Regionalt/lokalt
Ole Bondo Christense,@olebondo,112,153,78,08/10-2009,Regionalt/lokalt
Peter G Harboe,@PeterGHarboe,111,100,156,02/08-2012,Regionalt/lokalt
Mathias Frosz,@MathiasDFN,110,333,192,08/04-2012,Regionalt/lokalt
Mette Bossen Linnet,@Mette_Linnet,107,167,73,14/07-2011,Regionalt/lokalt
Esben Kullberg,@esben_kullberg,102,57,38,19/07-2013,Regionalt/lokalt
HC Østerby,@Oesterby,98,2,18,19/05-2009,Regionalt/lokalt
Kirstine van Sabben,@KirstinevanSabb,94,48,13,07/01-2012,Regionalt/lokalt
John Engelhardt,@john_Engelhardt,93,267,8,19/02-2011,Regionalt/lokalt
Miki Dam Larsen,@mikidamlarsen,93,280,47,11/02-2015,Regionalt/lokalt
Otto Kjær Larsen,@otklar,92,69,111,29/05-2013,Regionalt/lokalt
Diana Mose Olsen,@DianaMoseOlsen,91,55,18,26/04-2012,Regionalt/lokalt
Hans Jørgen Hansen,@HansJHans,91,179,91,16/11-2011,Regionalt/lokalt
Sascha Qvortrup,@perleberger,90,194,18,15/05-2013,Regionalt/lokalt
peter duetoft,@peterduetoft,89,0,8,10/01-2013,Regionalt/lokalt
Marianne Mathiesen,@MarianneM_LA,88,62,65,11/10-2013,Regionalt/lokalt
aage rais-nordentoft,@AageRaisNord,88,23,44,13/09-2013,Regionalt/lokalt
Aleksander Aagaard,@Aleaag1,88,69,4,04/02-2013,Regionalt/lokalt
Lars Aslan Rasmussen,@AslanLars,88,0,1,04/01-2014,Folketinget
Søren Greve,@SGHobro,86,108,49,01/09-2013,Regionalt/lokalt
Robert Sørensen,@RobertGlostrup,85,432,173,24/02-2013,Regionalt/lokalt
Frede Nørskov,@fredenoerskov,85,80,83,12/02-2013,Regionalt/lokalt
Thomas Andresen,@tand22927504,84,32,1,28/10-2013,Regionalt/lokalt
Dan Arnløv,@DanArnloev,83,197,13,16/10-2013,Regionalt/lokalt
Olav Rabølle Nielsen,@orn48245399,82,86,4,12/10-2013,Regionalt/lokalt
Bodil Sø,@BodilSoe,81,213,12,13/12-2013,Regionalt/lokalt
HPBeck,@HansPeterBeck,80,138,63,27/08-2012,Regionalt/lokalt
Arne Lægaard,@ArneLaegaard,80,224,129,26/01-2009,Regionalt/lokalt
Sjurdur Skaale,@SSkaale,80,9,1,01/11-2014,Folketinget
KARIN SØJBERG HOLST,@holst_karin,78,41,12,01/11-2013,Regionalt/lokalt
Dan Skjerning,@SkjerningDan,78,92,5,17/06-2010,Regionalt/lokalt
susanne langer,@langer_susanne,76,80,40,21/06-2013,Regionalt/lokalt
Rabih Azad-Ahmad,@AzadRabih,74,22,1,24/03-2012,Regionalt/lokalt
Alice Trauelsen,@AliceYvonne,73,805,6,30/05-2009,Regionalt/lokalt
Michele Fejø,@FejoeMichele,72,91,16,31/08-2014,Regionalt/lokalt
Jens Ive,@JiJens,71,27,5,10/08-2013,Regionalt/lokalt
John Lohff,@JohnLohff,70,37,48,22/12-2012,Regionalt/lokalt
Dorthe Ullemose,@DortheUllemose,69,31,5,15/11-2015,Folketinget
H Kristian Wollesen,@Wollese,68,100,45,23/09-2013,Regionalt/lokalt
Lars Hoppe Søe,@hoppesoe,68,50,128,18/11-2012,Regionalt/lokalt
Magni Arge,@MagniArge,67,9,1,26/02-2012,Folketinget
vibeke syppli enrum,@Vse11Vse,66,14,0,26/06-2013,Regionalt/lokalt
Abbas Razvi,@AghaRazvi,65,27,66,02/09-2013,Regionalt/lokalt
Bente Nielsen,@bentesfregmidt,65,61,70,30/09-2009,Regionalt/lokalt
Thomas Palmskov,@TPalmskov,64,54,64,29/08-2013,Regionalt/lokalt
Claus Bakke,@ClausBakke,63,28,3,16/07-2011,Regionalt/lokalt
Kenneth Bjerregaard,@kbmusik88,61,96,135,03/09-2013,Regionalt/lokalt
Keld Marstrand Chr,@KeldMarstrand,59,240,7,08/01-2014,Regionalt/lokalt
Steen Vindum,@vindum,59,3,10,19/06-2009,Regionalt/lokalt
Lis Mancini,@lismancini,59,102,14,24/02-2009,Regionalt/lokalt
PeterSkriverNielsen,@Enthybo,59,17,3714,05/07-2011,Regionalt/lokalt
Anne Honoré Østergaa,@AnneStergaa,58,76,12,23/02-2013,Regionalt/lokalt
Per Berga Rasmussen,@pbra3,57,31,1,16/10-2013,Regionalt/lokalt
Sune Raunkjær,@SRaunkjr,57,15,264,04/12-2012,Regionalt/lokalt
Karsten Uno Petersen,@KarstenUno,56,13,1,25/09-2013,Regionalt/lokalt
Lene Kjelgaard ,@lenekjelgaard,56,30,0,23/02-2013,Regionalt/lokalt
Peter Mikkelsen,@PeterMikkelsen4,56,67,27,05/10-2013,Regionalt/lokalt
Dan Ingemann Jensen,@IngemannDj,54,16,0,13/10-2013,Regionalt/lokalt
Erik Swiatek,@ErikSwiatek,54,42,44,29/02-2012,Regionalt/lokalt
Thomas Hav,@hav_t,53,38,26,24/01-2014,Regionalt/lokalt
Peder Udengaard,@PederUdengaard,52,10,1,06/05-2015,Regionalt/lokalt
Claus Mørkbak Højrup,@claushojrup,51,85,76,10/02-2014,Regionalt/lokalt
Per Bødker Andersen,@PerBoedker,50,28,2,17/10-2013,Regionalt/lokalt
Lene Krabbe Dahl,@LeneKrabbeDahl,50,35,5,12/08-2013,Regionalt/lokalt
Flemming Erichsen,@ErichsenFer,49,173,15,05/11-2012,Regionalt/lokalt
Mai-Britt Beith,@BeithMai,47,125,54,23/12-2013,Regionalt/lokalt
Henrik Arens,@Arens8000,44,159,9,21/09-2013,Regionalt/lokalt
Herdis Hanghøi,@HerdisHanghoi,42,58,7,19/09-2012,Regionalt/lokalt
Steen Bach Nielsen,@SteenBachN,41,24,2,10/08-2013,Regionalt/lokalt
Steen Stavnsbo,@StavnsboSteen,41,11,4,23/01-2013,Regionalt/lokalt
Mette Valbjørn,@MetteVALG,41,7,13,11/10-2009,Regionalt/lokalt
Heidi Storck,@HeidiStorck,41,52,71,24/07-2009,Regionalt/lokalt
Bjarne Laustsen,@Bjarne_Laustsen,40,159,0,26/01-2016,Folketinget
Gitte Simoni,@Gittesimoni,39,17,3,03/04-2014,Regionalt/lokalt
Ursula Dieterich,@UDieterich,39,33,102,11/03-2013,Regionalt/lokalt
Thies Mathiasen,@MailThies,37,24,0,25/09-2013,Regionalt/lokalt
Erik Vinther,@erik_evn,37,61,26,15/02-2013,Regionalt/lokalt
Uwe Jessen,@UweJessen,37,21,1,11/10-2013,Regionalt/lokalt
Palle Graversgaard,@PGraversgaard,37,27,2,29/01-2011,Regionalt/lokalt
Hans Skou,@HansSkou,37,38,1,03/11-2012,Regionalt/lokalt
Anny winther,@AnnyWinther,36,20,4,24/09-2014,Regionalt/lokalt
Per Seerup,@PerSeerup,32,28,4,05/03-2011,Regionalt/lokalt
Allan Mylius Thomsen,@AllanMylius,31,13,5,15/07-2013,Regionalt/lokalt
Ida Rosendal Damborg,@idaroda,31,20,1,03/04-2009,Regionalt/lokalt
John T Olsen,@JtoOlsen,30,162,16,30/10-2013,Regionalt/lokalt
Henning Ravn,@henningravn,30,32,21,02/09-2010,Regionalt/lokalt
Bente Gertz,@bente_gertz,29,16,1,11/06-2013,Regionalt/lokalt
Hans Philip Tietje,@HptPhilip,29,38,1,13/10-2013,Regionalt/lokalt
Linda Frederiksen,@Lindaf_dk,27,6,5,25/03-2013,Regionalt/lokalt
Mikkel Andersen,@ChubbyThEvlTwin,27,32,5,16/04-2011,Regionalt/lokalt
Jørgen Hein,@aabcollege,27,1,0,21/12-2010,Regionalt/lokalt
Petter Astrup,@PetterAstrup,26,45,59,19/09-2013,Regionalt/lokalt
Erik Harbo Larsen,@ErhlErik,26,15,16,24/09-2014,Regionalt/lokalt
Cecilie Roed Schultz,@CroedS_EL,26,48,44,22/07-2016,Regionalt/lokalt
Carl Johan Rasmussen,@cjrrasmus,25,6,0,29/10-2013,Regionalt/lokalt
Lauge Larsen (A),@laugelarsenS,25,16,3,02/07-2013,Regionalt/lokalt
Kirsten algren,@06Dorthe,24,5,0,19/10-2013,Regionalt/lokalt
Mogens Nørgård,@MogensNorg,24,0,11,02/07-2013,Regionalt/lokalt
Erik R Gregersen,@ErikRGregersen,24,86,1,10/06-2013,Regionalt/lokalt
Søren H Lambertsen,@shl1030,24,40,33,08/09-2012,Regionalt/lokalt
Lisbeth Lauersen,@LisbethLauersen,23,5,5,16/06-2013,Regionalt/lokalt
Anne Møller Ronex,@AnneMllerRonex,23,18,0,15/08-2012,Regionalt/lokalt
Kit Kielstrup,@venstrekandidat,23,10,19,27/10-2009,Regionalt/lokalt
Lars Havelund,@larshavelund,23,1,2,02/06-2009,Regionalt/lokalt
Jørgen Gaarde,@joergengaarde,23,2,1,01/05-2009,Regionalt/lokalt
Jens Meilvang,@JmMeilvang,23,19,3,11/11-2013,Regionalt/lokalt
Annie Hagel,@hagel6,20,7,2,26/06-2013,Regionalt/lokalt
Flemming Brank,@BrankFlemming,19,2,103,28/11-2011,Regionalt/lokalt
Ole Marqweis,@olemrq,19,20,1,07/09-2009,Regionalt/lokalt
Per Skovmose,@PskPer,19,29,10,10/06-2012,Regionalt/lokalt
Susanne Gaarde,@susgaa,18,11,5,27/10-2012,Regionalt/lokalt
Christoffer L,@ChrisLilleholt,18,8,0,21/01-2011,Regionalt/lokalt
Tage Petersen,@TagePetersen,18,53,29,08/10-2009,Regionalt/lokalt
Ulla Chambless,@UllaGC,18,1,1,25/05-2009,Regionalt/lokalt
Annemarie Knigge,@KniggeMinpost,17,10,0,22/05-2013,Regionalt/lokalt
Lene Madsen Milner,@LeneMilner,16,22,2,03/04-2014,Regionalt/lokalt
Jan Hendeliowitz,@JanHendeliowitz,16,24,2,25/10-2013,Regionalt/lokalt
Susan Kjeldgaard,@SusanKjeldgaar,16,38,11,09/08-2013,Regionalt/lokalt
Susan Hedlund,@hedlund_susan,16,26,1,03/05-2013,Regionalt/lokalt
Bent Dyrvig,@bentdyrvig,16,4,0,21/04-2013,Regionalt/lokalt
Niels Hörup,@Niels_Horup,14,2,1,09/10-2010,Regionalt/lokalt
Kai Nielsen,@Kngreve,12,20,4,15/07-2012,Regionalt/lokalt
melanie simick,@SimickMorten,12,16,16,12/10-2013,Regionalt/lokalt
Thyge Nielsen,@ThygeNielsen,11,2,0,17/02-2014,Regionalt/lokalt
Henning Tønning,@Tnning,11,10,0,07/09-2012,Regionalt/lokalt
Holger Gorm Petersen,@gorm_hogpe,10,1,0,04/12-2013,Regionalt/lokalt
Carsten Abild,@carstenabild,10,0,0,21/06-2012,Regionalt/lokalt
Arne Kristiansen,@ArneBoelt,9,17,0,30/11-2013,Regionalt/lokalt
Hans Thorup,@HansThorup,6,5,0,26/11-2013,Regionalt/lokalt
