name,twitterAccount,followers,following,tweets,created_at,type
Naser Khader,@naserkhaderdk,4454,287,260,02/10-2012,Folketinget
Rasmus Jarlov,@RasmusJarlov,4429,170,1317,27/02-2013,Folketinget
Yildiz Akdogan,@YildizAkdogan,4407,1169,11528,23/04-2009,Regionalt/lokalt
Torsten Schack,@Torstenschack,4273,381,1129,20/07-2010,Folketinget
Jan E Jørgensen,@JanEJoergensen,4135,296,1495,10/04-2011,Folketinget
Liselott Blixt,@Blixt22,3991,548,353,20/07-2009,Folketinget
EU-Parlamentet i DK,@EPiDanmark,3790,1728,5755,16/01-2013,EU
Peter Skaarup,@skaarup_df,3780,755,1329,07/04-2015,Folketinget
Mette Reissmann,@mettereissmann,3745,346,1629,19/08-2009,Folketinget
Jacob Bundsgaard,@JBundsgaard,3694,595,445,24/01-2013,Regionalt/lokalt
Andreas Steenberg,@a_steenberg,3676,441,4568,20/08-2009,Folketinget
Camilla Schwalbe,@CamillaSchwalbe,3566,1355,123,26/09-2012,Regionalt/lokalt
Mette Abildgaard,@metteabildgaard,3406,747,1444,05/05-2009,Regionalt/lokalt
rasmus nordqvist,@rasmusnordqvist,3356,554,5582,28/01-2013,Folketinget
Karsten Hønge,@khoenge,3241,656,1815,25/01-2014,Folketinget
Pia Allerslev,@pia_allerslev,3227,718,933,14/06-2013,Regionalt/lokalt
Kulturministeriet,@Kulturmin,3226,583,546,17/04-2013,Folketinget
Carl Holst,@CarlHolst,3154,293,1137,10/08-2009,Folketinget
Finn Sørensen,@elfinns,3079,801,665,29/05-2013,Folketinget
Thomas Jensen,@MFThomasJensen,3069,1791,957,01/04-2012,Folketinget
Niclas Bekker,@NiclasBekker,3049,1982,16373,14/10-2009,Regionalt/lokalt
Jacob Jensen,@jacobjensenMF,3047,170,671,17/08-2010,Folketinget
Rina Ronja Kari,@rinakari,2940,592,1872,15/04-2009,EU
Morten Kabell,@mortenkabell,2907,106,532,20/04-2009,Regionalt/lokalt
Josephine Fock,@JosephineFock,2896,585,2068,22/10-2009,Folketinget
Troels Lund Poulsen,@troelslundp,2873,490,526,07/01-2015,Folketinget
DSU,@DSUnet,2872,437,949,20/02-2013,Parti
Finansministeriet,@Finansmin,2840,0,191,22/05-2014,Folketinget
Hans Andersen,@HansAndersenV,2817,637,116,04/12-2012,Folketinget
Ane Halsboe,@AneHalsboe,2792,840,2087,30/05-2012,Folketinget
Christian Poll,@ChristianPoll,2737,1643,3525,10/07-2009,Folketinget
Radikal Ungdom,@radikalungdom,2679,101,2085,16/03-2009,Parti
